tweet_id,author_id,inbound,text,response_tweet_id,in_response_to_tweet_id
119250,105838,True,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",119249,119251
119253,105839,True,"I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye",119252,
119263,105841,True,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",119262,
119268,105843,True,"Okay @76099 I used my phone for 2 minutes and it drains it down 8 percent",119267,119268
119270,105844,True,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please? Battery runs out in half the time, apps now frequently crash.",119269,119271
119280,105846,True,"So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?",119279,119280
119292,105848,True,"#ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days",119289,119292
119299,105849,True,"Took my phone off charge at 7:20am. 8:03am - 60% battery remaining. @76099 plz I beg you, sort your battery life out",119293,119299
119301,105852,True,"@76099 @AppleSupport fix this update. It’s horrible",119300,119301
119324,105857,True,"@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.",119323,119324
119326,105857,True,"My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!",119325,119326
119249,105837,True,"@105838 @AppleSupport Me too am suffering, hope they can find a solution",119248,119249
119251,105838,True,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",119249,119251
